TimeStamp,Study(1)/NonStudy(2),Specification,Table(T)/Hand(H),Path,PackageName,Light Intensity,RAW Accelerometer X,RAW Accelerometer Y,RAW Accelerometer Z,Displacement(ACC),RAW Gyroscope X,RAW Gyroscope Y,RAW Gyroscope Z,Displacement(Gyro),RAW Gravity X,RAW Gravity Y,RAW Gravity Z,Displacement(Grav),RAW Rotation Vector X,RAW Rotation Vector Y,RAW Rotation Vector Z,Displacement(RotVec),RAW Game Rotation Vector X,RAW Game Rotation Vector Y,RAW Game Rotation Vector Z,Displacement(GameRotVec),RAW Linear Acceleration X,RAW Linear Acceleration Y,RAW Linear Acceleration Z,Displacement(LinAcc),Battery Temperature,Total Memory,Free Memory,Memory Used,Others
2018-02-15-15.09.12.,1,1A,H,com.android.chrome,null,92,0.61291504,4.3861847,9.021347,10.04982501,-0.010192871,0.019607544,0.003860474,2.24E-02,0.63311535,4.3463125,8.768074,9.806650247,0.18455973,0.13744219,0.6876859,0.725165186,0.21218969,-0.08904035,-0.2432721,0.334864096,-0.045449615,-0.002000809,0.20711517,0.21205274,30,882,235,647,16
2018-02-15-15.09.13.,1,1A,H,com.android.chrome,null,92,0.61291504,4.32872,8.887283,9.904407141,-0.06239319,-0.02407837,0.03050232,7.35E-02,0.61553216,4.298064,8.793074,9.806650007,0.18211333,0.1360615,0.68756324,0.724169321,0.20993672,-0.08720422,-0.24229705,0.33224368,0.02962339,-0.011759281,0.007435799,0.032727924,30,882,228,654,17
2018-02-15-15.09.14.,1,1A,H,com.android.chrome,null,110,1.0151367,3.9456482,8.638275,9.550834373,-0.16572571,-0.085861206,0.028366089,1.89E-01,0.91278124,3.9009354,8.950973,9.806650001,0.1767736,0.11125864,0.69578636,0.72646132,0.18589209,-0.09524453,-0.23591137,0.315089772,-0.018302858,-0.018151999,-0.88616467,0.886539515,30,882,227,655,18
2018-02-15-15.09.15.,1,1A,H,com.android.chrome,null,110,0.99598694,3.9073334,8.791504,9.672113878,-0.102874756,-0.041122437,0.01878357,1.12E-01,0.91301054,3.8672814,8.965542,9.806650653,0.17528999,0.110263444,0.69724804,0.727350972,0.1841451,-0.09473749,-0.23570098,0.313750796,-0.021052837,0.005043268,-0.35096264,0.351629679,31.4,882,223,659,19
2018-02-15-15.09.16.,1,1A,H,com.android.chrome,null,108,0.9576874,3.8881836,9.040512,9.887668789,0.002593994,4.27E-04,0.008132935,8.55E-03,0.89357805,3.8835576,8.960463,9.80665073,0.17505191,0.111851506,0.6978523,0.728115213,0.18529302,-0.09391713,-0.23568432,0.3141672,0.03767872,-0.014487743,0.012932777,0.042389118,31.4,882,221,661,20
2018-02-15-15.09.17.,1,1A,H,com.android.chrome,null,113,0.93852234,3.9456482,9.021347,9.891090213,0.0622406,0.017471313,-0.034484863,7.33E-02,0.9512929,3.84822,8.969762,9.806650075,0.17550342,0.108940214,0.70042944,0.730253943,0.18252932,-0.09670817,-0.23720673,0.31454166,0.034834027,0.03837681,0.03522873,0.062667794,31.4,882,222,660,21
2018-02-15-15.09.18.,1,1A,H,com.android.chrome,null,95,0.7661438,4.232956,9.002197,9.977196182,-0.19767761,-0.09118652,0.060317993,2.26E-01,0.6855476,4.2459745,8.813178,9.806649857,0.1823543,0.1319086,0.68959486,0.725392336,0.20615937,-0.090284444,-0.24360368,0.331656026,0.01732099,-0.04900694,0.03770542,0.064213671,31.4,882,222,660,22
2018-02-15-15.09.19.,1,1A,H,com.android.chrome,null,105,0.8427582,3.9839478,9.117126,9.985192435,-0.030426025,-0.014480591,0.005996704,3.42E-02,0.84912074,3.9353871,8.942154,9.806650591,0.17569393,0.11492912,0.6957528,0.726738618,0.18793398,-0.09358354,-0.24142238,0.319940347,-0.035016656,0.023676395,0.05571747,0.069936931,31.4,882,233,649,23
2018-02-15-15.09.20.,1,1A,H,com.android.chrome,null,110,1.0151367,3.8690338,9.23204,10.06133627,0.03668213,-0.015548706,-0.046203613,6.10E-02,0.89601654,3.8277712,8.984192,9.806649983,0.17307034,0.109454766,0.6979587,0.72737888,0.18155771,-0.094712645,-0.24300285,0.317779912,0.05124396,-0.07989526,0.20076466,0.22207126,31.4,882,216,666,24
2018-02-15-15.09.21.,1,1A,H,com.android.chrome,null,100,0.55545044,3.9073334,9.059662,9.881966153,0.018569946,0.016403198,0.009185791,2.64E-02,0.5581773,3.866923,8.994761,9.806649827,0.16348635,0.12110748,0.68921715,0.718620267,0.18705603,-0.080030285,-0.25257215,0.324326218,-0.008651853,0.037678003,-0.03057766,0.049289753,31.4,882,213,669,25
2018-02-15-15.09.22.,1,1A,H,com.android.chrome,null,105,0.6320648,3.8115692,9.002197,9.796280749,0.07609558,0.047302246,-0.046203613,1.01E-01,0.734319,3.6811204,9.05983,9.806650367,0.16262206,0.10784853,0.6914914,0.718496761,0.17520685,-0.08590575,-0.2511604,0.318054688,-0.18609738,0.036746264,-0.08935547,0.20968291,31.4,882,208,674,26
2018-02-15-15.09.23.,1,1A,H,com.android.chrome,null,100,0.5746155,3.9073334,8.925583,9.76030067,-0.102874756,-0.11248779,0.025177002,1.55E-01,0.6329851,3.8599422,8.992806,9.806649972,0.16628397,0.1176611,0.6873804,0.716928384,0.18553618,-0.08408817,-0.25451297,0.325992862,-0.04615581,0.04341054,-0.08914852,0.109372265,31.4,882,209,673,27
2018-02-15-15.09.24.,1,1A,H,com.android.chrome,null,111,0.8427582,3.6774902,9.040512,9.796174395,0.007919312,4.27E-04,-0.017440796,1.92E-02,0.9143176,3.6571705,9.053149,9.806649762,0.16907883,0.09914736,0.68638355,0.713820865,0.17088768,-0.095996074,-0.25856432,0.324458554,-0.024585962,-0.021643639,0.0367136,0.049201677,31.4,882,202,680,28
2018-02-15-15.09.25.,1,1A,H,com.android.chrome,null,131,1.2641449,3.4093475,9.289505,9.975801514,0.19221497,0.092041016,-0.045135498,2.18E-01,1.3032528,3.2900465,9.145902,9.806650663,0.16736904,0.075341955,0.7052647,0.728757232,0.14916028,-0.106958,-0.23837088,0.300847934,-0.15097082,0.078698635,0.011584282,0.17064542,31.4,882,202,680,29
2018-02-15-15.09.26.,1,1A,H,com.android.chrome,null,118,1.1683655,3.9839478,9.097961,10.00049061,-0.015518189,0.024932861,0.004928589,2.98E-02,1.2300228,3.936148,8.897426,9.806651141,0.18979315,0.10166678,0.69688505,0.729387652,0.18346979,-0.112678364,-0.23959598,0.322123907,-0.056082606,0.04262495,0.06393051,0.095127573,31.4,882,198,684,30
2018-02-15-15.09.27.,1,1A,H,com.android.chrome,null,116,1.1875305,4.0414124,8.925583,9.869613709,0.0771637,0.017471313,-0.024902344,8.29E-02,1.1628789,3.9656193,8.893367,9.806650823,0.18853906,0.10496446,0.6958375,0.728528889,0.18581627,-0.10971248,-0.23978978,0.322588985,0.009892345,0.025461197,-0.08065891,0.085158621,31.4,882,182,700,31
2018-02-15-15.09.28.,1,1A,H,com.android.chrome,null,103,0.9576874,4.2712555,8.906433,9.923977906,0.008987427,0.007888794,-3.97E-04,1.20E-02,0.9542928,4.2085342,8.806131,9.806649685,0.19004408,0.12204715,0.694637,0.73043331,0.20117918,-0.102660574,-0.23994225,0.329521683,-0.008509934,-0.008928776,0.028746605,0.031281134,31.4,882,183,699,32
2018-02-15-15.09.29.,1,1A,H,com.android.chrome,null,105,0.9002228,4.194641,8.868118,9.851341587,4.58E-04,-0.012359619,-0.002532959,1.26E-02,0.87073076,4.171234,8.832498,9.806650094,0.18525842,0.12388405,0.696051,0.730859039,0.20023099,-0.09785443,-0.24003074,0.327540372,-7.23E-04,0.008715153,-0.057455063,0.058116783,31.4,882,183,699,33
2018-02-15-15.09.31.,1,1A,H,com.android.chrome,null,102,0.86190796,4.2521057,9.021347,10.01039409,-6.10E-04,-0.004898071,-0.005722046,7.56E-03,0.8601709,4.162823,8.8375,9.806650578,0.18479282,0.123549774,0.6947003,0.729397998,0.19994341,-0.09713685,-0.2397749,0.326963205,-0.009121418,0.017582893,0.053136826,0.056708735,31.4,882,183,699,34
2018-02-15-15.09.32.,1,1A,H,com.android.chrome,null,105,0.86190796,4.1754913,9.002197,9.960781282,-0.015518189,0.006820679,0.009185791,1.93E-02,0.86878896,4.158297,8.838787,9.80664998,0.18515117,0.12274494,0.693556,0.72826314,0.19961807,-0.09746747,-0.23957184,0.326713863,-0.036922872,0.003360748,-0.0048666,0.037393541,31.4,882,182,700,35
2018-02-15-15.09.33.,1,1A,H,com.android.chrome,null,105,0.91937256,4.194641,8.9830475,9.956676223,0.008987427,-0.004898071,-0.005722046,1.17E-02,0.8884573,4.129688,8.850238,9.806650397,0.18457241,0.12122904,0.6949124,0.729154784,0.19794437,-0.09788503,-0.23877724,0.325235335,0.038275838,0.010155201,-0.00377655,0.039779771,31.4,882,182,700,36
2018-02-15-15.09.34.,1,1A,H,com.android.chrome,null,101,0.86190796,4.194641,8.963898,9.934252151,0.006851196,-0.004898071,-0.002532959,8.79E-03,0.8872253,4.124325,8.852861,9.806649444,0.18420184,0.1212409,0.6956107,0.729728662,0.19768004,-0.097735725,-0.2387397,0.325002022,-0.018282235,0.013929367,0.06661606,0.070469616,31.4,882,182,700,37
2018-02-15-15.09.35.,1,1A,H,com.android.chrome,null,101,0.91937256,4.1563416,8.944733,9.905991613,0.010055542,-0.013412476,6.71E-04,1.68E-02,0.8935386,4.1107845,8.858523,9.806650304,0.1837888,0.120676056,0.6964209,0.730303432,0.19689271,-0.09784834,-0.23868337,0.324516237,0.03249067,-0.011918068,0.096432686,0.102454609,31.4,882,182,700,38
